emp_no,salary
14667,43032
14670,40000
14674,40000
14676,67712
14677,40000
14681,62865
14683,41107
14684,68504
14700,47864
14703,40721
14713,58566
14716,53864
14717,45421
14723,40000
14724,66530
14725,47976
14732,52144
14746,46307
14751,42780
14753,40000
14761,88993
14763,40000
14776,49455
14777,60709
14785,46936
14791,40000
14793,47045
14798,40000
14803,40000
14807,95008
14814,40000
14815,40000
14818,40000
14839,40000
14846,40002
14853,58311
14854,48875
14871,72116
14874,40000
14880,40000
14881,67611
14889,52734
14899,64365
14902,40000
14905,41067
14906,54758
14908,40000
14911,62738
14914,40000
14915,40733
14920,40000
14930,42712
14933,40000
14936,40000
14941,43608
14942,40000
14947,46447
14954,43510
14966,80123
14971,55187
14973,63316
14978,75352
14983,86754
14987,40719
15005,50368
15016,40000
15018,40668
15019,41721
15024,40000
15025,57957
15030,40000
15043,104525
15049,40000
15055,40000
15064,83820
15071,97484
15075,40000
15082,63024
15087,40000
15089,48594
15092,40000
15112,44588
15113,62081
15114,40000
15124,40000
15129,40000
15136,59986
15151,61253
15169,64912
15176,98401
15187,43249
15193,47039
15195,51315
15196,55824
15199,49278
15202,40000
15204,40000
15205,43795
15207,44839
15208,44109
15231,48675
15233,40000
15234,47654
15237,40000
15248,64696
15252,51572
15253,40396
15254,46211
15258,40000
15263,72318
15269,60930
15272,40000
15274,40000
15283,50063
15295,54607
15319,40000
15321,40000
15324,40000
15329,41839
15330,53020
15331,78519
15334,40000
15337,40000
15365,41309
15369,81954
15370,67631
15374,40000
15377,50274
15382,66083
15386,77209
15388,66286
15390,40000
15395,40931
15403,52659
15406,40000
15410,58123
15411,40000
15414,74013
15422,64396
15424,40000
15428,40000
15445,40000
15452,40000
15461,54875
15470,40693
15474,90430
15479,40000
15482,47679
15488,40356
15489,53575
15491,61291
15497,44126
15505,56848
15510,48661
15511,76880
15512,59369
15517,40000
15532,53298
15534,63090
15539,47803
15555,40000
15560,69578
15583,85961
15637,73742
15643,58685
15646,64477
15650,45913
15651,50313
15653,54720
15657,62022
15662,40000
15668,40000
15671,58919
15683,60987
15684,40000
15687,62333
15710,40000
15715,40000
15728,40000
15733,40000
15739,54605
15744,41115
15772,48304
15788,53521
15799,64458
15809,50619
15819,63847
15839,65553
15847,40000
15855,40000
15861,50890
15869,40000
15889,63393
15893,46831
15895,73364
15901,40000
15911,45602
15912,93126
15918,73476
15942,50486
15944,45281
15945,57717
15946,70769
15955,45283
15958,86432
15967,74527
15970,43010
15971,42963
16000,40000
16005,69484
16013,40915
16019,40000
16028,53714
16052,40000
16066,74757
16068,53031
16069,40000
16086,42903
16094,40000
16096,41514
16109,58718
16118,40000
16120,80251
16130,40000
16142,54681
16145,50877
16149,55398
16151,40000
16164,67467
16170,74119
16180,69407
16192,40000
16203,40000
16212,40000
16215,83701
16218,40000
16224,74966
16227,58619
16229,40000
16233,54684
16234,40000
16237,83471
16246,40000
16270,71078
16272,40000
16274,65521
16278,43802
16287,40000
16301,50704
16302,40000
16311,40000
16313,40935
16314,56634
16324,40000
16347,72191
16355,80403
16360,47148
16364,73503
16365,40000
16373,98832
16377,62147
16380,42820
16381,71792
16382,66986
16384,44031
16392,41016
16397,66757
16415,61617
16433,40000
16437,67860
16438,52449
16439,40000
16447,40000
16448,76979
16452,43944
16457,56830
16463,72579
16471,44976
16480,87062
16481,63974
16482,40000
16484,70261
16486,57496
16487,73302
16491,40000
16499,40000
16500,46887
16504,40000
16511,63199
16526,40000
16529,40000
16530,40000
16531,45838
16535,52593
16537,40000
16539,40000
16556,53954
16559,40000
16577,55076
16578,40000
16580,40000
16586,40000
16588,40000
16593,40000
16608,40000
16616,75394
16622,40000
16629,40000
16668,63915
16669,52669
16672,55265
16680,40000
16686,80191
16695,63658
16704,45798
16716,54270
16719,40000
16723,56932
16731,48868
16747,55717
16751,40000
16776,40000
16783,40000
16789,88972
16812,41452
16832,51405
16838,83313
16843,40000
16858,67670
16868,58292
16869,40000
16885,72252
16894,40000
16895,41387
16902,40000
16915,57109
16917,51984
16929,52679
16938,44073
16944,85060
16950,40540
16954,47943
16955,74715
16962,83797
16993,57751
16996,77644
16999,40000
17007,80722
17012,40000
17014,53876
17046,44955
17047,43113
17048,46913
17055,46654
17059,40000
17062,76038
17066,59260
17076,60092
17085,40000
17089,67779
17092,40000
17097,46803
17100,40644
17101,40173
17102,89793
17118,50753
17120,40000
17123,79885
17126,40000
17128,46832
17129,40000
17140,40000
17141,44827
17154,40000
17157,42856
17158,48426
17159,56346
17160,49824
17162,53213
17163,47086
17169,57648
17172,62280
17179,42835
17200,68977
17214,70041
17215,47977
17222,54882
17235,40000
17243,56517
17245,81426
17260,40000
17268,49079
17275,46660
17276,40000
17280,69670
17285,55174
17287,50398
17293,40000
17294,43785
17297,40000
17322,46840
17326,40000
17329,58239
17334,70117
17352,71029
17355,40000
17361,55784
17364,40000
17379,41384
17384,55693
17386,40000
17387,49554
17391,60230
17412,43480
17414,40000
17415,54112
17416,40000
17419,40000
17423,78956
17466,40000
17468,59122
17472,40000
17483,56090
17488,63543
17493,46465
17497,55867
17512,40000
17513,79165
17516,40090
17520,40000
17525,40000
17534,40231
17539,60576
17551,74590
17552,45663
17555,40000
17558,64235
17559,53573
17566,61155
17568,45495
17582,44397
17584,40000
17588,56584
17593,40000
17596,55560
17603,43117
17629,70592
17635,40000
17638,40992
17647,75896
17648,40000
17657,43935
17663,59823
17667,40000
17670,84401
17674,43044
17675,61640
17680,40000
17683,54891
17704,40000
17711,49277
17716,40000
17718,40000
17723,79795
17728,57162
17735,72852
17736,40000
17779,40000
17788,67707
17791,46451
17798,83096
17800,43968
17801,71569
17803,57485
17811,40000
17813,40000
17815,40000
17816,74497
17824,40000
17826,50924
17828,40000
17829,77734
17833,40000
17840,66948
17841,40000
17854,77064
17855,40000
17861,40000
17864,88947
17871,48561
17874,75424
17891,44505
17896,44155
17900,40000
17907,69291
17919,71358
17921,61589
17925,47958
17938,87164
17939,57603
17941,40000
17949,40000
17964,40000
17977,97418
17984,40125
17986,77587
17987,80776
17991,54944
18006,108512
18013,40000
18022,40000
18030,55277
18035,67409
18044,63563
18059,48228
18069,43690
18080,40000
18096,40000
18106,60846
18113,40000
18115,46627
18121,49531
18124,58819
18130,40000
18135,59507
18157,48645
18176,52863
18178,40000
18181,50366
18186,40000
18208,70916
18212,40000
18215,58760
18223,48598
18230,40000
18231,66920
18237,40592
18242,62461
18251,58297
18254,42931
18265,40000
18274,63753
18283,45681
18290,40000
18306,91886
18310,41095
18313,40000
18318,61555
18323,40000
18333,40520
18354,65400
18362,56027
18371,49889
18374,56668
18376,50047
18382,57540
18383,68788
18396,51817
18397,40000
18398,56854
18402,45396
18403,43239
18408,44030
18426,79058
18427,65998
18429,45850
18438,41898
18441,40000
18447,65350
18448,44353
18450,59963
18454,64815
18462,40000
18467,40000
18468,40000
18498,83122
18516,65538
18521,61570
18531,44418
18532,52115
18535,46219
18541,40000
18547,40000
18551,40000
18563,53738
18565,74969
18568,53876
18571,70621
18573,88101
18579,48733
18580,40000
18586,84193
18592,54073
18598,47523
18605,51280
18612,101395
18616,56839
18623,40000
18639,50602
18646,40000
18656,61143
18663,62505
18664,55929
18665,50748
18666,69504
18668,40000
18673,40000
18679,80953
18684,70754
18692,56378
18702,56913
18715,40000
18723,40000
18744,61614
18749,73872
18756,58164
18762,47114
18764,40000
18775,62152
18786,40000
18787,50353
18790,41481
18794,45917
18795,56530
18796,52643
18815,87881
18817,40000
18825,45115
18826,40000
18827,44455
18828,40000
18832,61763
18837,40000
18840,40000
18857,40000
18861,40331
18866,56470
18868,44386
18881,66599
18885,72994
18890,43372
18905,40000
18908,47202
18910,40000
18919,63564
18921,73112
18924,49779
18943,54916
18946,40000
18948,40000
18955,60604
18964,42245
18974,59313
18979,76060
18980,56699
19012,56894
19014,49781
19019,82676
19027,46182
19029,40000
19034,53806
19035,45728
19036,61331
19048,64540
19051,70956
19052,93907
19056,40000
19089,64741
19091,40000
19109,46911
19113,99390
19120,49416
19132,40000
19133,68717
19134,89672
19141,40000
19144,101263
19145,54008
19155,58058
19162,40000
19168,81702
19177,52709
19179,46995
19193,41877
19194,40000
19201,85848
19205,93690
19209,40000
19220,85619
19222,47714
19259,47060
19275,45426
19289,59172
19306,45631
19307,56551
19310,55989
19318,55717
19323,55222
19329,48046
19332,66487
19335,40000
19345,40000
19353,58474
19364,48699
19368,40000
19372,40000
19380,40000
19381,82438
19383,42450
19389,46632
19393,52070
19422,48435
19425,53627
19437,60814
19442,51952
19445,46101
19455,40000
19459,54603
19482,56885
19483,57869
19487,64256
19488,45504
19497,40000
19501,72030
19504,45465
19511,69281
19513,58854
19518,48762
19520,61414
19530,40000
19533,91866
19544,40000
19546,40000
19549,79277
19570,40000
19580,82037
19583,64800
19585,60680
19593,55221
19594,40036
19599,43790
19602,51525
19612,83131
19614,62330
19616,45859
19617,43394
19624,49259
19631,40000
19634,50862
19637,45831
19639,40000
19640,71369
19644,53423
19650,40652
19663,74026
19665,63601
19667,52876
19669,68024
19670,40000
19673,60232
19674,40000
19678,40000
19679,44169
19689,48791
19690,52072
19702,54795
19706,40000
19709,62904
19712,40000
19713,40000
19719,40000
19720,40000
19724,69399
19725,63873
19726,54183
19728,78721
19731,64316
19738,74083
19746,41247
19765,40000
19766,52681
19772,60796
19776,40000
19777,63089
19801,40000
19804,53435
19810,49383
19814,40000
19815,40000
19828,48504
19830,51450
19831,59533
19839,40424
19842,61627
19843,84534
19849,69889
19860,48588
19872,60183
19874,98732
19875,40000
19889,74020
19901,40000
19904,44347
19911,53539
19916,52997
19921,40000
19927,40000
19929,40000
19935,73461
19940,50833
19943,57412
19946,54941
19951,49908
19955,65157
19958,40000
19971,40000
19974,40489
19975,40000
19979,90696
19984,63176
19990,49225
20002,64072
20004,123749
20008,41076
20017,40000
20032,43667
20039,60465
20051,40000
20055,40000
20059,40000
20063,52629
20068,40000
20071,65962
20075,43803
20081,40000
20083,40000
20086,40000
20089,57922
20105,55660
20119,51975
20120,40000
20122,75822
20130,78448
20135,40000
20137,45384
20139,40000
20144,58512
20147,53685
20155,40000
20159,41110
20161,63595
20169,55381
20171,57586
20174,40000
20180,40000
20184,59900
20189,40797
20201,60751
20208,43779
20215,40000
20218,40000
20222,48534
20259,48386
20265,53518
20269,40000
20283,50536
20284,40000
20310,58108
20316,40000
20322,40000
20338,40000
20346,40000
20347,40000
20361,40000
20367,40000
20371,51825
20373,40000
20382,40000
20388,47418
20394,40000
20397,45344
20401,47228
20402,42237
20403,40000
20407,53687
20416,40000
20417,40000
20425,40000
20435,71488
20437,45182
20439,40000
20441,40000
20442,58381
20449,81972
20450,41934
20451,49240
20454,40000
20456,46657
20489,47269
20494,82543
20498,40000
20520,75972
20530,61897
20533,44982
20535,42381
20545,73867
20548,47132
20550,40000
20562,45899
20586,67653
20587,40000
20595,40000
20601,54492
20621,66479
20625,40000
20626,40000
20627,75911
20636,40000
20637,73174
20640,40000
20650,50836
20651,49811
20657,81149
20659,41797
20662,40000
20666,40000
20674,54297
20683,40000
20684,40000
20686,42281
20689,60620
20693,40000
20695,40000
20699,40000
20708,63353
20711,40000
20713,53818
20721,88883
20733,40000
20736,83900
20739,40000
20743,71520
20757,40000
20765,45556
20780,61759
20794,70498
20804,66808
20809,40000
20819,40000
20820,70573
20822,40000
20880,40000
20883,58925
20903,51887
20914,67555
20915,43396
20920,40000
20923,80332
20925,53797
20928,42339
20929,40000
20930,47189
20945,41488
20949,41828
20952,48259
20958,55761
20965,40000
20974,80291
20991,63129
20994,40000
20998,44741
21011,46023
21020,61474
21026,40000
21036,43916
21044,40433
21080,64932
21103,40000
21107,53822
21109,56522
21112,40000
21131,59989
21139,61372
21147,40738
21154,63228
21165,57958
21173,40000
21186,41269
21189,54336
21192,40000
21213,40000
21214,56646
21229,40000
21230,73297
21251,55174
21288,40000
21312,43128
21358,40000
21360,42405
21361,84832
21363,52656
21373,56985
21387,49448
21425,59966
21426,40000
21430,40000
21444,40000
21452,93049
21454,40000
21457,40000
21467,40000
21468,40000
21472,50307
21474,59355
21479,42045
21480,40000
21498,40000
21507,40000
21511,40000
21512,52336
21527,40000
21537,90832
21541,40000
21547,40000
21548,49951
21558,62828
21574,49277
21576,75684
21583,44042
21588,55000
21594,76425
21595,52738
21607,50150
21612,82560
21613,40000
21626,43714
21627,69393
21632,59812
21642,49874
21643,40210
21646,41370
21648,42629
21649,57825
21662,40000
21674,44125
21686,55890
21691,40000
21692,57798
21704,40000
21707,40000
21708,40000
21725,47368
21728,53894
21730,69353
21732,53102
21741,40000
21748,45463
21749,40000
21751,40000
21753,40000
21754,42362
21758,81328
21760,75927
21793,40000
21800,58192
21803,40000
21804,60342
21820,81547
21832,64710
21846,52743
21851,68104
21852,40000
21858,66639
21862,41302
21869,71624
21886,40000
21890,48659
21897,85262
21908,52324
21910,83115
21915,40000
21916,40000
21926,73514
21939,53794
21943,62419
21947,48681
21959,40000
21961,60065
21973,40000
21975,53948
21976,56844
21978,40000
21984,40000
21985,40000
21987,56799
22007,40000
22008,52459
22023,46984
22025,60814
22054,40000
22059,64930
22072,51418
22084,53904
22097,40000
22100,85569
22106,40000
22111,66782
22112,51291
22115,77536
22121,40000
22133,40000
22135,48289
22150,67163
22153,40000
22154,54435
22165,63349
22166,42009
22168,40000
22178,40000
22179,71161
22183,65345
22195,46654
22196,40000
22205,53244
22212,54336
22214,40000
22224,61487
22233,47259
22234,56671
22235,51778
22258,40000
22267,40000
22276,50602
22280,44175
22284,54303
22292,40000
22299,61407
22301,62889
22304,54667
22309,62189
22310,44049
22315,70532
22325,44813
22328,57438
22329,40000
22337,40000
22341,40000
22367,40329
22372,43809
22374,76757
22375,47344
22378,63127
22385,57465
22394,45938
22395,40000
22403,50582
22410,40000
22416,40000
22424,47921
22429,41561
22432,76591
22440,40000
22443,51204
22445,54054
22453,40000
22461,40000
22462,40000
22466,42564
22478,40000
22484,67055
22492,79198
22496,44922
22531,65155
22535,60182
22549,52206
22554,48595
22557,82178
22561,69661
22562,40000
22577,86493
22584,40000
22589,42520
22590,83493
22593,52423
22603,50608
22608,45417
22609,66371
22614,48477
22616,40000
22617,40000
22619,40000
22620,62623
22627,73614
22630,54841
22633,65226
22634,42442
22641,40000
22647,49891
22649,40376
22652,40000
22679,40000
22682,40000
22684,40000
22687,45048
22688,43606
22702,40000
22704,47431
22718,40000
22722,40000
22725,59279
22726,67607
22731,40000
22735,42702
22749,53701
22766,40000
22770,75136
22771,40000
22772,46367
22774,40000
22776,54775
22779,40000
22783,83582
22787,73873
22794,40000
22798,55980
22805,60322
22810,49175
22820,43423
22824,76736
22833,51912
22838,40000
22843,71220
22849,59451
22854,41649
22855,46111
22860,70362
22863,57027
22868,66727
22871,68081
22878,46933
22880,40000
22886,40000
22888,40000
22896,40000
22910,72381
22911,40000
22923,43991
22928,40000
22933,63584
22934,91442
22935,40000
22940,40000
22949,63212
22950,40000
22952,87124
22956,55371
22959,40000
22961,44463
22972,68730
22977,49862
22985,63562
22987,40708
22992,40795
22994,59774
22995,57931
22997,50160
22999,65582
23000,40000
23002,48399
23004,53352
23011,50445
23014,44525
23015,75888
23023,40000
23026,52693
23035,40000
23037,52165
23040,81708
23041,40000
23043,43897
23047,40000
23049,40000
23056,63777
23066,51798
23068,40000
23085,83971
23106,40000
23116,66406
23119,52289
23126,40000
23128,66325
23131,40000
23136,56024
23159,40435
23162,62575
23168,44486
23170,40000
23173,57346
23180,49791
23195,47070
23197,40000
23198,72375
23210,51184
23211,40000
23212,62788
23216,41986
23217,52794
23220,40000
23224,50328
23238,44014
23252,64713
23269,49962
23276,48257
23277,40000
23300,60044
23301,64263
23306,47240
23317,40000
23323,48952
23329,57660
23330,61255
23333,40000
23335,40000
23340,40000
23342,40000
23362,47408
23363,47315
23374,40000
23384,44719
23385,85129
23395,43321
23398,69439
23404,63624
23414,58205
23416,62692
23420,43571
23421,42253
23422,64596
23426,44553
23437,62604
23443,48181
23454,74964
23455,44109
23458,40000
23460,62890
23466,56208
23481,56999
23482,62427
23484,58230
23490,40000
23501,42775
23504,62604
23505,108941
23506,40000
23511,43560
23517,56951
23527,40000
23536,40000
23537,72962
23554,53968
23557,63292
23561,48337
23569,55731
23573,40000
23581,69404
23584,45910
23592,68278
23609,40000
23620,77230
23626,40000
23640,48632
23642,48854
23643,43055
23648,40000
23649,55877
23656,50614
23659,40000
23660,40000
23662,40000
23671,40000
23682,45100
23692,43618
23704,72755
23713,40000
23717,58355
23718,40000
23725,95908
23727,44627
23734,85924
23739,76242
23749,40000
23753,64455
23757,47056
23758,40000
23759,57786
23761,76893
23765,45377
23772,40000
23777,40000
23783,45359
23785,58076
23791,55247
23797,56625
23812,92255
23835,40000
23842,40000
23850,57258
23855,40000
23857,46531
23862,40000
23868,49745
23871,49073
23874,47981
23875,40000
23880,40000
23892,40000
23899,40765
23901,40000
23930,40000
23943,64997
23951,40000
23957,42838
23960,102652
23963,40000
23969,61491
23970,40000
23977,84078
23989,40000
23993,40000
23995,63784
23997,45485
23998,95371
24011,41752
24012,44768
24015,72669
24017,40000
24029,57431
24034,40000
24040,40000
24041,40000
24043,40000
24056,91264
24072,42591
24084,44034
24088,45217
24103,40000
24107,40000
24108,44261
24112,45327
24114,70972
24128,49841
24134,42531
24140,59707
24144,40000
24153,63144
24156,42938
24160,40000
24177,49836
24182,40000
24186,40000
24199,43068
24204,40000
24212,52857
24213,66048
24214,46054
24231,58547
24233,79159
24250,40000
24251,56717
24252,68102
24256,40200
24259,60921
24269,51386
24292,57094
24296,40000
24316,40000
24330,66078
24332,61655
24334,73699
24344,62074
24345,66447
24346,58410
24357,40343
24364,66205
24369,54477
24371,52707
24388,61315
24389,55607
24408,40000
24428,40000
24429,70034
24432,74287
24434,40000
24442,40462
24444,56191
24460,69794
24462,42789
24471,51103
24482,57467
24486,61923
24490,58400
24496,40000
24503,40000
24507,40000
24508,66662
24530,82781
24533,49362
24546,53685
24552,58263
24556,78072
24559,83718
24565,61503
24580,65469
24581,61538
24588,104465
24594,57432
24596,68819
24603,48774
24604,40221
24613,72578
24625,40000
24646,50383
24652,44665
24661,40000
24669,55574
24673,49838
24680,46522
24682,40000
24687,46185
24688,46267
24701,40000
24705,83320
24713,56090
24715,59673
24717,60131
24720,58014
24727,59984
24729,43563
24731,40000
24736,40000
24741,64430
24746,60533
24764,40000
24766,77362
24768,62962
24775,40000
24776,46406
24781,40000
24787,66220
24793,66663
24794,40000
24802,40000
24805,53411
24813,40000
24818,57516
24822,40000
24829,47574
24833,42872
24834,67490
24844,45654
24846,40000
24855,40000
24856,40000
24867,48552
24868,40000
24871,76858
24872,89311
24875,40000
24877,40000
24881,40000
24882,40000
24896,40000
24900,40000
24910,40000
24919,40000
24925,60601
24927,45855
24937,40000
24938,43837
24939,43476
24944,40000
24949,41974
24956,75901
24963,47590
24967,64162
24968,40000
24980,40000
24999,55558
25003,85160
25004,58960
25007,40000
25016,40000
25018,40356
25019,40000
25020,50459
25026,66563
25027,40000
25033,40067
25035,68043
25036,40000
25037,63524
25046,55583
25052,40000
25055,40000
25057,65638
25059,40000
25076,41499
25078,48505
25085,69009
25101,72836
25102,44215
25108,53886
25112,68760
25113,46267
25114,68053
25119,62082
25123,51633
25124,43318
25125,40000
25127,67728
25130,40000
25140,50020
25145,40000
25153,56867
25154,40000
25161,55722
25162,40000
25165,60564
25172,48598
25175,51336
25178,40000
25190,43749
25195,45684
